N,seed,arm,reached,s50,s90,prog,final_m,comm,Jn,min_sep,sep_viol,discon,a3,a2,a0,a1,brake,central,quorum,unsafe_true,unsafe_rate,rx,tx
3,2,distributed,False,191.0,575.0,0.9512,9.52,0.796,0.755,0.922,0.0,0.325,0.0,0.4969,0.3086,0.0008,0.1936,0.0,0.0,1.0,0.0003,5395.0,3600.0
3,2,centralised,False,977.0,,0.5161,94.37,0.163,0.0,5.689,0.0,0.9675,0.0,0.0,0.5703,0.0,0.0,0.4297,0.0,2.0,0.0006,1170.0,3600.0
3,2,centralised_byz,False,340.0,,0.68,62.4,0.125,0.0,5.929,0.0,0.9683,0.0,0.0,0.5858,0.0,0.0,0.4142,0.0,1.0,0.0003,906.0,3600.0
5,0,clear_baseline,True,320.0,557.0,0.985,2.92,0.998,0.998,0.274,0.0,0.0,,,,,,,,,,,
5,0,baseline,False,,,-0.0002,195.26,0.342,0.0,1.989,0.0,0.0,,,,,,,,,,,
5,0,distributed,False,217.0,492.0,0.9771,4.47,0.802,0.801,1.076,0.0,0.3842,0.0148,0.3875,0.1837,0.0025,0.4115,0.0,0.0148,77.0,0.0128,17835.0,6000.0
5,0,centralised,False,843.0,,0.6264,72.88,0.31,0.248,3.525,0.0,0.9658,0.0,0.0,0.5998,0.0,0.0,0.4002,0.0,3.0,0.0005,6052.0,6000.0
5,0,centralised_byz,False,1051.0,,0.5624,85.38,0.206,0.016,3.869,0.0,0.9558,0.0,0.0,0.6785,0.0,0.0,0.3215,0.0,4.0,0.0007,4845.0,6000.0
5,1,clear_baseline,True,323.0,563.0,0.9854,2.85,0.998,0.998,0.276,0.0,0.0,,,,,,,,,,,
5,1,baseline,False,,,-0.0002,195.25,0.342,0.0,2.36,0.0,0.0,,,,,,,,,,,
5,1,distributed,False,221.0,976.0,0.9411,11.5,0.791,0.773,0.995,0.0,0.2883,0.0135,0.3957,0.5292,0.0128,0.0488,0.0,0.0137,5.0,0.0008,17247.0,6000.0
5,1,centralised,False,906.0,,0.6109,75.87,0.249,0.171,1.443,0.0,0.9375,0.0,0.0,0.6248,0.0,0.0,0.3752,0.0,9.0,0.0015,5093.0,6000.0
5,1,centralised_byz,False,,,0.4772,101.8,0.187,0.001,2.991,0.0,0.95,0.0,0.0,0.7095,0.0,0.0,0.2905,0.0,3.0,0.0005,4485.0,6000.0
5,2,clear_baseline,True,320.0,557.0,0.985,2.92,0.998,0.998,0.28,0.0,0.0,,,,,,,,,,,
5,2,baseline,False,,,-0.0003,195.27,0.339,0.0,3.074,0.0,0.0,,,,,,,,,,,
5,2,distributed,False,,,-0.0144,197.9,0.732,0.853,1.0,0.0,0.9633,0.0165,0.5032,0.4217,0.0052,0.0535,0.0,0.0167,120.0,0.02,13690.0,6000.0
5,2,centralised,False,1091.0,,0.5526,87.17,0.232,0.039,1.364,0.0,0.9575,0.0,0.0,0.6652,0.0,0.0,0.3348,0.0,1.0,0.0002,5323.0,6000.0
5,2,centralised_byz,False,,,0.4849,100.49,0.201,0.038,1.737,0.0,0.9533,0.0,0.0,0.6908,0.0,0.0,0.3092,0.0,2.0,0.0003,4740.0,6000.0
7,0,clear_baseline,True,322.0,558.0,0.9856,2.82,0.997,0.997,0.278,0.0,0.0,,,,,,,,,,,
7,0,baseline,False,,,-0.0002,195.25,0.298,0.0,1.974,0.0,0.0,,,,,,,,,,,
7,0,distributed,False,421.0,,0.8291,33.35,0.87,0.915,2.113,0.0,0.2817,0.0387,0.242,0.7112,0.0032,0.0049,0.0,0.0388,0.0,0.0,31804.0,8400.0
7,0,centralised,False,1028.0,,0.6358,71.06,0.371,0.318,0.604,0.0,0.9608,0.0,0.0,0.646,0.0,0.0,0.354,0.0,14.0,0.0017,16096.0,8400.0
7,0,centralised_byz,False,,,0.3424,128.25,0.664,0.681,1.24,0.0,0.9442,0.0,0.0,0.5599,0.0,0.0,0.4401,0.0,11.0,0.0013,24230.0,8400.0
7,1,clear_baseline,True,325.0,564.0,0.9861,2.71,0.997,0.997,0.232,0.0,0.0,,,,,,,,,,,
7,1,baseline,False,,,-0.0002,195.25,0.294,0.0,1.969,0.0,0.0,,,,,,,,,,,
7,1,distributed,False,,,0.1219,171.33,0.597,0.843,0.866,0.0,0.9608,0.1073,0.4869,0.3342,0.0111,0.0606,0.0,0.1096,74.0,0.0088,20435.0,8400.0
7,1,centralised,False,1194.0,,0.5028,96.96,0.303,0.277,1.617,0.0,0.9408,0.0,0.0,0.6849,0.0,0.0,0.3151,0.0,9.0,0.0011,12964.0,8400.0
7,1,centralised_byz,False,,,0.4333,110.42,0.622,0.748,5.322,0.0,0.94,0.0,0.0,0.5432,0.0,0.0,0.4568,0.0,24.0,0.0029,24109.0,8400.0
7,2,clear_baseline,True,322.0,558.0,0.9856,2.82,0.997,0.997,0.273,0.0,0.0,,,,,,,,,,,
7,2,baseline,False,,,-0.0003,195.27,0.297,0.0,1.969,0.0,0.0,,,,,,,,,,,
7,2,distributed,False,295.0,,0.839,31.41,0.59,0.84,0.445,0.0,0.5917,0.0735,0.2988,0.4825,0.0043,0.141,0.0,0.0737,1090.0,0.1298,19846.0,8400.0
7,2,centralised,False,649.0,,0.8375,31.68,0.68,0.737,0.021,0.0425,0.8633,0.0,0.0,0.4798,0.0,0.0,0.5202,0.0,119.0,0.0142,25052.0,8400.0
7,2,centralised_byz,False,939.0,,0.5793,82.05,0.338,0.273,3.409,0.0,0.9458,0.0,0.0,0.6482,0.0,0.0,0.3518,0.0,4.0,0.0005,14573.0,8400.0
